,pres,year,presnum,pres_year
0,Washington,1791,1,Washington 1791
1,Washington,1792,1,Washington 1792
2,Washington,1793,1,Washington 1793
3,Washington,1794,1,Washington 1794
4,Washington,1795,1,Washington 1795
5,Washington,1796,1,Washington 1796
6,Adams,1797,2,Adams 1797
7,Adams,1798,2,Adams 1798
8,Adams,1799,2,Adams 1799
9,Adams,1800,2,Adams 1800
10,Jefferson,1801,3,Jefferson 1801
11,Jefferson,1802,3,Jefferson 1802
12,Jefferson,1803,3,Jefferson 1803
13,Jefferson,1804,3,Jefferson 1804
14,Jefferson,1805,3,Jefferson 1805
15,Jefferson,1806,3,Jefferson 1806
16,Jefferson,1807,3,Jefferson 1807
17,Jefferson,1808,3,Jefferson 1808
18,Madison,1809,4,Madison 1809
19,Madison,1810,4,Madison 1810
20,Madison,1811,4,Madison 1811
21,Madison,1812,4,Madison 1812
22,Madison,1813,4,Madison 1813
23,Madison,1814,4,Madison 1814
24,Madison,1815,4,Madison 1815
25,Madison,1816,4,Madison 1816
26,Monroe,1817,5,Monroe 1817
27,Monroe,1818,5,Monroe 1818
28,Monroe,1819,5,Monroe 1819
29,Monroe,1820,5,Monroe 1820
30,Monroe,1821,5,Monroe 1821
31,Monroe,1822,5,Monroe 1822
32,Monroe,1823,5,Monroe 1823
33,Monroe,1824,5,Monroe 1824
34,Adams,1825,6,Adams 1825
35,Adams,1826,6,Adams 1826
36,Adams,1827,6,Adams 1827
37,Adams,1828,6,Adams 1828
38,Jackson,1829,7,Jackson 1829
39,Jackson,1830,7,Jackson 1830
40,Jackson,1831,7,Jackson 1831
41,Jackson,1832,7,Jackson 1832
42,Jackson,1833,7,Jackson 1833
43,Jackson,1834,7,Jackson 1834
44,Jackson,1835,7,Jackson 1835
45,Jackson,1836,7,Jackson 1836
46,Buren,1837,8,Buren 1837
47,Buren,1838,8,Buren 1838
48,Buren,1839,8,Buren 1839
49,Buren,1840,8,Buren 1840
50,Tyler,1841,9,Tyler 1841
51,Tyler,1842,9,Tyler 1842
52,Tyler,1843,9,Tyler 1843
53,Tyler,1844,9,Tyler 1844
54,Polk,1845,10,Polk 1845
55,Polk,1846,10,Polk 1846
56,Polk,1847,10,Polk 1847
57,Polk,1848,10,Polk 1848
58,Taylor,1849,11,Taylor 1849
59,Fillmore,1850,12,Fillmore 1850
60,Fillmore,1851,12,Fillmore 1851
61,Fillmore,1852,12,Fillmore 1852
62,Pierce,1853,13,Pierce 1853
63,Pierce,1854,13,Pierce 1854
64,Pierce,1855,13,Pierce 1855
65,Pierce,1856,13,Pierce 1856
66,Buchanan,1857,14,Buchanan 1857
67,Buchanan,1858,14,Buchanan 1858
68,Buchanan,1859,14,Buchanan 1859
69,Buchanan,1860,14,Buchanan 1860
70,Lincoln,1861,15,Lincoln 1861
71,Lincoln,1862,15,Lincoln 1862
72,Lincoln,1863,15,Lincoln 1863
73,Lincoln,1864,15,Lincoln 1864
74,Johnson,1865,16,Johnson 1865
75,Johnson,1866,16,Johnson 1866
76,Johnson,1867,16,Johnson 1867
77,Johnson,1868,16,Johnson 1868
78,Grant,1869,17,Grant 1869
79,Grant,1870,17,Grant 1870
80,Grant,1871,17,Grant 1871
81,Grant,1872,17,Grant 1872
82,Grant,1873,17,Grant 1873
83,Grant,1874,17,Grant 1874
84,Grant,1875,17,Grant 1875
85,Grant,1876,17,Grant 1876
86,Hayes,1877,18,Hayes 1877
87,Hayes,1878,18,Hayes 1878
88,Hayes,1879,18,Hayes 1879
89,Hayes,1880,18,Hayes 1880
90,Arthur,1881,19,Arthur 1881
91,Arthur,1882,19,Arthur 1882
92,Arthur,1883,19,Arthur 1883
93,Arthur,1884,19,Arthur 1884
94,Cleveland,1885,20,Cleveland 1885
95,Cleveland,1886,20,Cleveland 1886
96,Cleveland,1887,20,Cleveland 1887
97,Cleveland,1888,20,Cleveland 1888
98,Harrison,1889,21,Harrison 1889
99,Harrison,1890,21,Harrison 1890
100,Harrison,1891,21,Harrison 1891
101,Harrison,1892,21,Harrison 1892
102,Cleveland,1893,22,Cleveland 1893
103,Cleveland,1894,22,Cleveland 1894
104,Cleveland,1895,22,Cleveland 1895
105,Cleveland,1896,22,Cleveland 1896
106,McKinley,1897,23,McKinley 1897
107,McKinley,1898,23,McKinley 1898
108,McKinley,1899,23,McKinley 1899
109,McKinley,1900,23,McKinley 1900
110,Roosevelt,1901,24,Roosevelt 1901
111,Roosevelt,1902,24,Roosevelt 1902
112,Roosevelt,1903,24,Roosevelt 1903
113,Roosevelt,1904,24,Roosevelt 1904
114,Roosevelt,1905,24,Roosevelt 1905
115,Roosevelt,1906,24,Roosevelt 1906
116,Roosevelt,1907,24,Roosevelt 1907
117,Roosevelt,1908,24,Roosevelt 1908
118,Taft,1909,25,Taft 1909
119,Taft,1910,25,Taft 1910
120,Taft,1911,25,Taft 1911
121,Taft,1912,25,Taft 1912
122,Wilson,1913,26,Wilson 1913
123,Wilson,1914,26,Wilson 1914
124,Wilson,1915,26,Wilson 1915
125,Wilson,1916,26,Wilson 1916
126,Wilson,1917,26,Wilson 1917
127,Wilson,1918,26,Wilson 1918
